date,hometeam,awayteam,fthg,ftag,ftr,season,is_home,goals_scored,goals_conceded,goal_difference,result,points
31/08/08,Numancia,Barcelona,1,0,H,2008_2009,False,0,1,-1,Loss,0
13/09/08,Barcelona,Santander,1,1,D,2008_2009,True,1,1,0,Draw,1
21/09/08,Sp Gijon,Barcelona,1,6,A,2008_2009,False,6,1,5,Win,3
24/09/08,Barcelona,Betis,3,2,H,2008_2009,True,3,2,1,Win,3
27/09/08,Espanol,Barcelona,1,2,A,2008_2009,False,2,1,1,Win,3
04/10/08,Barcelona,Ath Madrid,6,1,H,2008_2009,True,6,1,5,Win,3
19/10/08,Ath Bilbao,Barcelona,0,1,A,2008_2009,False,1,0,1,Win,3
25/10/08,Barcelona,Almeria,5,0,H,2008_2009,True,5,0,5,Win,3
01/11/08,Malaga,Barcelona,1,4,A,2008_2009,False,4,1,3,Win,3
08/11/08,Barcelona,Valladolid,6,0,H,2008_2009,True,6,0,6,Win,3
16/11/08,Recreativo,Barcelona,0,2,A,2008_2009,False,2,0,2,Win,3
23/11/08,Barcelona,Getafe,1,1,D,2008_2009,True,1,1,0,Draw,1
29/11/08,Sevilla,Barcelona,0,3,A,2008_2009,False,3,0,3,Win,3
06/12/08,Barcelona,Valencia,4,0,H,2008_2009,True,4,0,4,Win,3
13/12/08,Barcelona,Real Madrid,2,0,H,2008_2009,True,2,0,2,Win,3
21/12/08,Villarreal,Barcelona,1,2,A,2008_2009,False,2,1,1,Win,3
03/01/09,Barcelona,Mallorca,3,1,H,2008_2009,True,3,1,2,Win,3
11/01/09,Osasuna,Barcelona,2,3,A,2008_2009,False,3,2,1,Win,3
17/01/09,Barcelona,La Coruna,5,0,H,2008_2009,True,5,0,5,Win,3
24/01/09,Barcelona,Numancia,4,1,H,2008_2009,True,4,1,3,Win,3
01/02/09,Santander,Barcelona,1,2,A,2008_2009,False,2,1,1,Win,3
08/02/09,Barcelona,Sp Gijon,3,1,H,2008_2009,True,3,1,2,Win,3
14/02/09,Betis,Barcelona,2,2,D,2008_2009,False,2,2,0,Draw,1
21/02/09,Barcelona,Espanol,1,2,A,2008_2009,True,1,2,-1,Loss,0
01/03/09,Ath Madrid,Barcelona,4,3,H,2008_2009,False,3,4,-1,Loss,0
07/03/09,Barcelona,Ath Bilbao,2,0,H,2008_2009,True,2,0,2,Win,3
15/03/09,Almeria,Barcelona,0,2,A,2008_2009,False,2,0,2,Win,3
22/03/09,Barcelona,Malaga,6,0,H,2008_2009,True,6,0,6,Win,3
04/04/09,Valladolid,Barcelona,0,1,A,2008_2009,False,1,0,1,Win,3
