season,matches,wins,draws,losses,goals_scored,goals_conceded,total_points,goal_difference,points_per_game,gd_per_game,goals_per_game,goals_conceded_per_game,points_per_game_z,gd_per_game_z,goals_per_game_z,goals_conceded_per_game_z,dominance_index,dominance_rank
2008_2009,38,27,6,5,105,35,87,70,2.289,1.8421052631578947,2.763157894736842,0.9210526315789473,-0.2510658637771413,0.3263326063716225,0.5583644937872213,-0.35897347753822983,0.06785360671619708,9
2009_2010,38,30,6,2,95,21,96,74,2.526,1.9473684210526316,2.5,0.5526315789473685,1.1085367775644064,0.5551018561991522,-0.1008158113782484,1.4588071108468499,0.7531763333586657,4
2010_2011,38,30,6,2,95,21,96,74,2.526,1.9473684210526316,2.5,0.5526315789473685,1.1085367775644064,0.5551018561991522,-0.1008158113782484,1.4588071108468499,0.7531763333586657,5
2011_2012,38,28,7,3,114,29,91,85,2.395,2.236842105263158,3.0,0.7631578947368421,0.3570264568228759,1.1842172932248585,1.1516267684361445,0.42007534605537555,0.7735611034509993,3
2012_2013,38,32,4,2,115,40,100,75,2.632,1.9736842105263157,3.026315789473684,1.0526315789473684,1.716629098164426,0.6122941686560344,1.217544798952691,-1.0081808305329012,0.8767902701649625,2
2013_2014,38,27,6,5,100,33,87,67,2.289,1.763157894736842,2.6315789473684212,0.868421052631579,-0.2510658637771413,0.15475566900097526,0.22877434120448703,-0.09929053634036156,-0.010585063831863695,10
2014_2015,38,30,4,4,110,21,94,89,2.474,2.3421052631578947,2.8947368421052633,0.5526315789473685,0.8102273372700601,1.4129865430523878,0.8879546463699568,1.4588071108468499,1.1038875268612562,1
2015_2016,38,29,4,5,112,29,91,83,2.395,2.1842105263157894,2.9473684210526314,0.7631578947368421,0.3570264568228759,1.0698326683110935,1.0197907074030501,0.42007534605537555,0.712878503770251,6
2016_2017,38,28,6,4,116,37,90,79,2.368,2.0789473684210527,3.0526315789473686,0.9736842105263158,0.20213501667004038,0.8410634184835641,1.2834628294692387,-0.6186564187360987,0.48696038446301637,7
2017_2018,38,28,9,1,99,29,93,70,2.447,1.8421052631578947,2.6052631578947367,0.7631578947368421,0.6553358971172246,0.3263326063716225,0.1628563106879393,0.42007534605537555,0.42284990994840954,8
2018_2019,38,26,9,3,90,36,87,54,2.289,1.4210526315789473,2.3684210526315788,0.9473684210526315,-0.2510658637771413,-0.5887443929384957,-0.4304059639609838,-0.488814948137164,-0.42389980521631954,13
2019_2020,38,25,7,6,86,38,82,48,2.158,1.263157894736842,2.263157894736842,1.0,-1.0025761845186743,-0.9318982676797901,-0.6940780860271715,-0.7484978893350328,-0.8815614454911622,14
2020_2021,38,24,7,7,85,38,79,47,2.079,1.236842105263158,2.236842105263158,1.0,-1.455777064965856,-0.9890905801366722,-0.7599961165437181,-0.7484978893350328,-1.0705230534880497,15
2021_2022,38,21,10,7,68,38,73,30,1.921,0.7894736842105263,1.7894736842105263,1.0,-2.362178825860223,-1.961359891903673,-1.8806026353250171,-0.7484978893350328,-1.9035657670874382,17
2022_2023,38,28,4,6,70,20,88,50,2.316,1.3157894736842106,1.8421052631578947,0.5263157894736842,-0.09617442362430831,-0.817513642766025,-1.7487665742919232,1.5886485814457845,-0.3903711687398324,12
2023_2024,38,26,7,5,79,44,85,35,2.237,0.9210526315789473,2.0789473684210527,1.1578947368421053,-0.54937530407149,-1.6753983296192612,-1.1555042996430003,-1.5275467129286389,-1.1551337221786957,16
2024_2025,38,28,4,6,102,39,88,63,2.316,1.6578947368421053,2.6842105263157894,1.0263157894736843,-0.09617442362430831,-0.07401358082655406,0.3606104022375803,-0.8783393599339675,-0.11549394605905318,11
